"SpeciesAuthor","OrganismType","DicotMonoc","AngioGymno","graminoid","MatrixPopulation","MatrixTreatment","MatrixReplicate","Lat","Lon","ppt_mean","ppt_sd","tmp_mean","tmp_sd","spp_pop","spp_rep","year_ran","MatrixStartYear","MatrixEndYear","cov","cov2","type","levels","cov_n","ppt_t0","tmp_t0","log_lambda"
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb1",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb1","Bouteloua_curtipendula_1934",1934,1935,NA,NA,NA,NA,NA,-0.165784583515172,0.754744122306183,0.0765696330887415
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb2",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb2","Bouteloua_curtipendula_1934",1934,1935,NA,NA,NA,NA,NA,-0.165784583515172,0.754744122306183,-0.30157840291711
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb1",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb1","Bouteloua_curtipendula_1935",1935,1936,NA,NA,NA,NA,NA,-1.19409860912736,0.10813211898995,1.26655725754575
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb2",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb2","Bouteloua_curtipendula_1935",1935,1936,NA,NA,NA,NA,NA,-1.19409860912736,0.10813211898995,0.91829388564303
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb1",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb1","Bouteloua_curtipendula_1936",1936,1937,NA,NA,NA,NA,NA,-1.12289139958187,-0.242405132733615,0.214479855668902
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb2",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb2","Bouteloua_curtipendula_1936",1936,1937,NA,NA,NA,NA,NA,-1.12289139958187,-0.242405132733615,0.050285254785292
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb1",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb1","Bouteloua_curtipendula_1937",1937,1938,NA,NA,NA,NA,NA,-0.257209443310355,1.45563125970124,0.0791584501720539
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb2",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb2","Bouteloua_curtipendula_1937",1937,1938,NA,NA,NA,NA,NA,-0.257209443310355,1.45563125970124,-0.0209781480246982
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb1",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb1","Bouteloua_curtipendula_1938",1938,1939,NA,NA,NA,NA,NA,-1.41447724457184,1.45126837878548,0.0613243892331459
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb2",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb2","Bouteloua_curtipendula_1938",1938,1939,NA,NA,NA,NA,NA,-1.41447724457184,1.45126837878548,-0.00885789406613562
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb1",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb1","Bouteloua_curtipendula_1939",1939,1940,NA,NA,NA,NA,NA,-0.734386605013511,-0.111279540537069,-0.391023542054735
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb2",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb2","Bouteloua_curtipendula_1939",1939,1940,NA,NA,NA,NA,NA,-0.734386605013511,-0.111279540537069,-0.837901443712704
"Bouteloua_curtipendula","Herbaceous perennial","Monocot","Angiosperm","yes","Hays","Unmanipulated","Hays_lb1",38.8,-99.3,560.837039951219,133.632690576395,12.4685664357724,0.716556344387463,"Bouteloua_curtipendula_Hays","Bouteloua_curtipendula_Hays_lb1","Bouteloua_curtipendula_1940",1940,1941,NA,NA,NA,NA,NA,1.82399545348851,-0.157892355558453,0.294477005932351
